number,target0,threshold0,clip0,target1,clip1,prob0,mean0,stddev0,prob1,mean1,stddev1,prob_joined
1860,er,158,1.7999999999999998,em,3.2000000000000015,0.632,82.61676000000021,8.609234818400145,0.593,163.0604430000004,18.58244062270782,0.365
1870,er,158,1.7999999999999998,em,3.2000000000000015,0.594,81.97459199999999,8.652874419147414,0.599,162.79937100000026,18.308030591440524,0.334
1880,er,158,1.7999999999999998,em,3.2000000000000015,0.652,82.68415200000005,8.329263019072252,0.573,162.73876500000034,17.950633566299658,0.367
1890,er,158,1.7999999999999998,em,3.2000000000000015,0.601,82.18972799999996,8.795465723997632,0.622,163.38212100000018,18.226977077733462,0.353
1900,er,158,1.7999999999999998,em,3.2000000000000015,0.609,82.34330399999989,8.717121607251109,0.605,162.89494200000019,17.175543856382276,0.368
1910,er,158,1.7999999999999998,em,3.2000000000000015,0.615,82.59408000000005,8.389445561274435,0.584,162.83200500000044,16.9282565936582,0.352
1920,er,158,1.7999999999999998,em,3.2000000000000015,0.665,83.564784,8.554931143693468,0.571,162.26324100000033,18.200868190136227,0.367
1930,er,158,1.7999999999999998,em,3.2000000000000015,0.634,83.01787199999998,8.508834777078334,0.62,163.2422610000006,17.32421390148969,0.376
1940,er,158,1.7999999999999998,em,3.2000000000000015,0.623,82.74182399999994,8.739996082437742,0.626,163.5033330000004,17.64500040215043,0.377
1950,er,158,1.7999999999999998,em,3.2000000000000015,0.609,82.54872000000005,8.47126858372384,0.624,163.44505800000042,17.017270051521972,0.373
1960,er,158,1.7999999999999998,em,3.2000000000000015,0.624,82.69711199999995,8.920817130927647,0.594,163.28188800000015,18.046170238955128,0.366
1970,er,158,1.7999999999999998,em,3.2000000000000015,0.653,83.45267999999997,8.78719479524626,0.604,163.3051980000004,17.468918358805336,0.385
1980,er,158,1.7999999999999998,em,3.2000000000000015,0.648,83.16237600000005,8.488093378527724,0.593,163.04645700000032,17.51668426044043,0.375
1990,er,158,1.7999999999999998,em,3.2000000000000015,0.655,83.39760000000003,8.865388389461474,0.652,164.85531300000056,17.924809665565157,0.42
2000,er,158,1.7999999999999998,em,3.2000000000000015,0.666,83.59524000000002,8.47724128324689,0.625,163.98818100000045,17.728752845588783,0.408
